City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
77,Sisimiut,GL,66.94,-53.67,31.41,55,100,15.23,0.0,0.0
78,Tual,ID,-5.67,132.75,80.62,73,100,4.79,0.0,0.0
79,Souillac,FR,45.6,-0.6,41.0,93,0,4.7,0.0,0.0
80,Carballo,ES,43.21,-8.69,52.0,100,75,6.93,0.0,0.0
81,Chengde,CN,40.97,117.93,36.93,65,0,3.42,0.0,0.0
82,Hermanus,ZA,-34.42,19.24,66.0,86,48,11.99,0.0,0.0
83,Teknaf,BD,20.86,92.31,71.26,99,76,1.95,3.13,0.0
84,Derzhavinsk,KZ,51.1,66.31,17.53,73,11,4.56,0.0,0.0
85,East London,ZA,-33.02,27.91,67.73,85,100,21.63,1.31,0.0
86,Touros,BR,-5.2,-35.46,82.4,65,40,10.29,0.0,0.0
87,Lata,IN,30.78,78.62,24.3,24,100,2.42,0.0,0.0
88,Lebu,ET,8.96,38.73,60.8,59,75,6.93,0.0,0.0
89,Nara,JP,34.68,135.8,53.01,87,75,2.24,0.0,0.0
90,Okato,NZ,-39.19,173.88,57.99,80,67,11.99,0.19,0.0
91,Zig,US,40.13,-92.77,53.6,54,1,11.41,0.0,0.0
92,Progreso,UY,-34.68,-56.22,71.6,53,40,13.87,0.0,0.0
93,Deniliquin,AU,-35.53,144.96,55.99,69,100,1.99,0.0,0.0
94,Watsa,CD,3.04,29.53,67.53,95,100,1.36,0.0,0.0
95,Matay,EG,28.42,30.79,68.49,53,0,10.04,0.0,0.0
96,Carnarvon,ZA,-30.97,22.13,64.2,52,24,7.49,0.0,0.0
97,Longyearbyen,NO,78.22,15.63,12.2,72,40,2.24,0.0,0.0
98,Mushie,CD,-3.02,16.92,74.01,94,53,3.31,0.0,0.0
99,Zhezkazgan,KZ,47.8,67.71,22.93,52,0,5.01,0.0,0.0
100,Maceio,BR,-9.67,-35.74,80.6,69,21,14.99,0.0,0.0
101,Lithakia,GR,37.72,20.83,60.01,87,20,2.86,0.0,0.0
102,Lang Son,VN,21.83,106.73,58.12,75,63,2.42,0.0,0.0
103,Avera,US,33.19,-82.53,68.0,34,1,5.82,0.0,0.0
104,Sur,OM,22.57,59.53,74.89,57,0,4.12,0.0,0.0
105,Severodvinsk,RU,64.56,39.82,28.4,100,90,4.47,0.0,0.0
106,Kavieng,PG,-2.57,150.8,81.63,67,100,2.42,0.0,0.0
107,Coihaique,CL,-45.58,-72.07,68.0,52,40,5.82,0.0,0.0
108,Bluff,AU,-23.58,149.07,73.08,21,93,2.55,0.0,0.0
109,Krasnyy Klyuch,RU,55.39,56.65,27.57,88,100,5.61,0.0,0.0
110,Weihe,CN,32.99,105.33,45.21,98,71,3.0,0.25,0.0
111,Bouna,CI,9.27,-3.0,80.13,47,11,4.27,0.0,0.0
112,Marsa Matruh,EG,31.35,27.25,74.93,68,0,10.04,0.0,0.0
