City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
124,124,Kapaa,US,22.08,-159.32,82.4,74,40,4.7,0.0,0.0
126,126,Airai,TL,-8.93,125.41,67.1,55,20,4.23,0.0,0.0
127,127,Japura,ID,-0.42,102.29,72.72,98,57,1.54,1.81,0.0
132,132,Kahului,US,20.89,-156.47,84.2,66,20,8.05,0.0,0.0
133,133,Isangel,VU,-19.55,169.27,68.0,94,20,11.43,0.0,0.0
135,135,Buala,SB,-8.15,159.59,81.0,80,100,5.17,4.25,0.0
138,138,Rio Gallegos,AR,-51.62,-69.22,62.6,39,100,12.75,0.0,0.0
139,139,Ribeira Grande,PT,38.52,-28.7,62.6,82,20,2.24,0.0,0.0
143,143,San Jose,HN,14.25,-87.96,75.65,63,100,5.01,0.0,0.0
145,145,San Patricio,PY,-26.98,-56.83,81.93,58,45,8.46,0.0,0.0
148,148,Sao Felix Do Xingu,BR,-6.64,-51.99,77.05,91,99,0.49,2.38,0.0
149,149,Tomatlan,MX,19.93,-105.25,88.11,57,0,6.26,0.0,0.0
151,151,Diamantina,BR,-18.24,-43.6,76.24,48,97,5.64,0.0,0.0
154,154,Nsanje,MZ,-16.92,35.26,74.25,78,41,6.58,0.0,0.0
155,155,Lagoa,PT,37.14,-8.45,60.8,67,40,10.29,0.0,0.0
157,157,Menongue,AO,-14.66,17.68,64.17,93,98,3.62,0.69,0.0
158,158,Avarua,CK,-21.21,-159.78,73.4,88,0,8.05,0.0,0.0
160,160,Nhulunbuy,AU,-12.18,136.78,71.6,94,35,5.82,0.0,0.0
161,161,Oranjemund,ZA,-28.55,16.43,60.17,85,30,7.38,0.0,0.0
162,162,Dingle,PH,11.0,122.67,72.9,83,98,2.1,0.0,0.0
165,165,Pantai Remis,MY,4.46,100.63,77.0,94,75,6.96,0.0,0.0
166,166,Ponta Delgada,PT,37.73,-25.67,64.4,77,75,8.05,0.0,0.0
167,167,Necochea,AR,-38.55,-58.74,60.01,80,95,4.0,0.0,0.0
170,170,Ixtapa,MX,20.71,-105.21,88.0,62,5,6.93,0.0,0.0
174,174,Cockburn Town,TC,21.46,-71.14,86.0,74,40,5.82,0.0,0.0
176,176,Osmanabad,IN,18.19,76.04,69.71,71,0,10.58,0.0,0.0
177,177,Acapulco,MX,16.86,-99.88,89.6,70,5,2.24,0.0,0.0
179,179,Ancud,CL,-41.87,-73.83,64.4,59,100,6.93,0.0,0.0
180,180,Grand Gaube,MU,-20.01,57.66,72.0,94,40,3.36,0.0,0.0
183,183,Flinders,AU,-34.58,150.85,64.99,77,100,10.94,0.0,0.0
184,184,Le Vauclin,MQ,14.55,-60.84,84.2,74,20,13.87,0.0,0.0
185,185,Tadine,NC,-21.55,167.88,74.39,59,29,10.92,0.0,0.0
194,194,Anloga,GH,5.79,0.9,80.6,83,20,8.05,0.0,0.0
196,196,Parang,PH,7.38,124.27,67.32,77,18,3.58,0.0,0.0
199,199,Takoradi,GH,4.89,-1.75,81.09,82,66,9.86,1.31,0.0
204,204,Teya,MX,21.05,-89.07,84.99,66,75,9.17,0.0,0.0
206,206,Sibolga,ID,1.74,98.78,70.9,97,95,1.77,0.25,0.0
209,209,Aguimes,ES,27.91,-15.45,70.0,73,75,27.51,0.0,0.0
212,212,Imbituba,BR,-28.24,-48.67,73.4,94,75,10.29,0.0,0.0
213,213,Mmabatho,ZA,-25.85,25.61,69.8,64,89,20.8,0.56,0.0
215,215,Mattru,SL,7.62,-11.83,77.2,87,4,3.24,0.0,0.0
217,217,Pivijay,CO,10.46,-74.62,89.6,66,40,6.93,0.0,0.0
218,218,Sao Joao Da Barra,BR,-21.64,-41.05,82.4,69,75,11.41,0.0,0.0
219,219,Coahuayana,MX,18.62,-100.35,88.74,50,5,1.95,0.0,0.0
221,221,Abu Zabad,SD,12.35,29.25,76.06,13,0,11.45,0.0,0.0
223,223,Valle Del Guamuez,CO,0.45,-76.92,89.6,59,40,3.36,0.0,0.0
228,228,Sitka,US,37.17,-99.65,66.99,34,100,1.99,0.0,0.0
229,229,Codrington,AU,-28.95,153.24,61.0,76,0,3.36,0.0,0.0
230,230,Tomigusuku,JP,26.18,127.67,71.6,64,20,12.75,0.0,0.0
233,233,Dakar,SN,14.69,-17.45,77.0,73,100,11.41,0.0,0.0
236,236,Satun,TH,6.62,100.07,77.0,94,75,3.36,0.0,0.0
240,240,Mbini,GQ,1.58,9.62,80.04,84,100,8.46,4.75,0.0
241,241,Kruisfontein,ZA,-34.0,24.73,62.67,88,100,18.3,0.0,0.0
242,242,Redlands,US,34.06,-117.19,89.6,10,5,7.7,0.0,0.0
243,243,The Valley,AI,18.22,-63.06,87.8,69,40,13.87,0.0,0.0
244,244,Byron Bay,AU,-28.65,153.62,66.0,93,90,1.12,0.0,0.0
